M†lt;Globalstr†ling;Relativ fugtighed;Temperatur;Vindretning;Vindhastighed
30-11-2021 12:30;43;89;4,3;316;3
30-11-2021 12:00;48;86;4,2;276;4,6
30-11-2021 11:30;102;79;4,8;270;6,7
30-11-2021 11:00;153;82;5;257;5,5
30-11-2021 10:30;69;83;4,6;253;6
30-11-2021 10:00;49;83;4,4;244;4,8
30-11-2021 09:30;29;83;4,2;247;4,3
30-11-2021 09:00;13;84;3,8;246;5,8
30-11-2021 08:30;23;85;3,8;230;3,8
30-11-2021 08:00;3;88;3,2;239;4,8
30-11-2021 07:30;0;90;2,9;237;4,8
30-11-2021 07:00;0;91;2;198;5,6
30-11-2021 06:30;0;90;1,9;188;7,7
30-11-2021 06:00;0;88;2,3;179;8,7
30-11-2021 05:30;0;87;2,5;172;9,1
30-11-2021 05:00;0;86;2,2;172;8,2
30-11-2021 04:30;0;82;2,3;172;6,7
30-11-2021 04:00;0;79;2,1;181;5,8
30-11-2021 03:30;0;79;2;184;4,6
30-11-2021 03:00;0;78;1,8;180;4,6
30-11-2021 02:30;0;78;1,1;189;3,4
30-11-2021 02:00;0;77;0,7;192;2,8
30-11-2021 01:30;0;76;0,6;202;2,8
30-11-2021 01:00;0;76;0,5;213;2,7
30-11-2021 00:30;0;76;0,3;219;3,2
30-11-2021 00:00;0;76;0,5;218;3
29-11-2021 23:30;0;75;0,8;228;2,4
29-11-2021 23:00;0;74;0,9;228;2,4
29-11-2021 22:30;0;78;0,5;219;2
29-11-2021 22:00;0;80;-0,2;224;1
29-11-2021 21:30;0;78;0,1;222;1,8
29-11-2021 21:00;0;73;1,1;247;1,7
29-11-2021 20:30;0;71;1,5;251;1,6
29-11-2021 20:00;0;73;1,1;258;1,7
29-11-2021 19:30;0;73;1;286;0,9
29-11-2021 19:00;0;74;0,6;312;1,5
29-11-2021 18:30;0;73;0,9;341;1
29-11-2021 18:00;0;76;0,3;318;2
29-11-2021 17:30;0;77;0;312;2,5
29-11-2021 17:00;0;76;0,2;311;2,7
29-11-2021 16:30;0;74;0,3;310;2,8
29-11-2021 16:00;0;72;0,7;311;2,8
29-11-2021 15:30;3;69;1,1;315;3,1
29-11-2021 15:00;26;67;1,9;319;2,8
29-11-2021 14:30;63;64;2,8;344;2,6
29-11-2021 14:00;104;67;2,5;333;3,1
29-11-2021 13:30;141;66;2,8;348;2,9
29-11-2021 13:00;169;71;2,1;359;3,4
29-11-2021 12:30;178;73;1,5;354;3,7
29-11-2021 12:00;145;75;1,1;357;4,4
29-11-2021 11:30;165;76;1,1;3;4,5
29-11-2021 11:00;98;77;0,8;5;4,8
29-11-2021 10:30;75;77;0,8;8;5,3
29-11-2021 10:00;65;77;0,9;9;5
29-11-2021 09:30;74;77;1;10;6
29-11-2021 09:00;41;78;1,1;8;5,1
29-11-2021 08:30;18;78;1,4;9;4,6
29-11-2021 08:00;3;78;1,8;11;4,6
29-11-2021 07:30;0;76;2;15;4,8
29-11-2021 07:00;0;77;1,9;27;4,8
29-11-2021 06:30;0;82;1,5;31;5,2
29-11-2021 06:00;0;81;1,9;26;5,5
29-11-2021 05:30;0;79;2,1;28;5,3
29-11-2021 05:00;0;79;2,4;33;5
